[ORB-SLAM3] solving the global RGB-D trajectory from the complete short-baseline scan
[80/267] RGB-D 96->97: fitness=0.361, rmse=0.2 mm, 0.10s
[81/267] RGB-D 97->98: fitness=0.367, rmse=0.3 mm, 0.10s
[82/267] RGB-D 98->99: fitness=0.370, rmse=0.2 mm, 0.12s
[83/267] RGB-D 99->100: fitness=0.356, rmse=0.3 mm, 0.11s
[84/267] RGB-D 100->101: fitness=0.350, rmse=0.3 mm, 0.10s
[85/267] RGB-D 101->102: fitness=0.350, rmse=0.2 mm, 0.10s
[86/267] RGB-D 102->103: fitness=0.342, rmse=0.3 mm, 0.10s
[87/267] RGB-D 103->104: fitness=0.337, rmse=0.3 mm, 0.11s
[88/267] RGB-D 104->105: fitness=0.331, rmse=0.3 mm, 0.10s
[89/267] RGB-D 105->106: fitness=0.332, rmse=0.4 mm, 0.11s
[90/267] RGB-D 106->107: fitness=0.331, rmse=0.5 mm, 0.11s
[91/267] RGB-D 107->108: fitness=0.322, rmse=0.4 mm, 0.11s
[92/267] RGB-D 108->109: fitness=0.321, rmse=0.3 mm, 0.11s
[93/267] RGB-D 109->110: fitness=0.324, rmse=0.4 mm, 0.11s
[94/267] RGB-D 110->111: fitness=0.328, rmse=0.3 mm, 0.10s
[95/267] RGB-D 111->112: fitness=0.335, rmse=0.3 mm, 0.10s
[96/267] RGB-D 112->113: fitness=0.329, rmse=0.4 mm, 0.11s
[97/267] RGB-D 113->114: fitness=0.335, rmse=0.3 mm, 0.11s
[98/267] RGB-D 114->115: fitness=0.327, rmse=0.5 mm, 0.11s
[99/267] RGB-D 115->116: fitness=0.330, rmse=0.3 mm, 0.12s
[100/267] RGB-D 116->117: fitness=0.327, rmse=0.3 mm, 0.11s
[101/267] RGB-D 117->118: fitness=0.326, rmse=0.5 mm, 0.11s
[102/267] RGB-D 118->119: fitness=0.328, rmse=0.4 mm, 0.10s
[103/267] RGB-D 119->120: fitness=0.335, rmse=0.4 mm, 0.10s
[104/267] RGB-D 120->121: fitness=0.330, rmse=0.3 mm, 0.11s
[105/267] RGB-D 121->122: fitness=0.346, rmse=0.4 mm, 0.12s
[106/267] RGB-D 122->123: fitness=0.341, rmse=0.4 mm, 0.10s
[107/267] RGB-D 123->124: fitness=0.347, rmse=0.3 mm, 0.11s
