assignment_index,source_index,frame_id,center_x,left_x,right_x,width,zero_width,placement_method,risky
89,89,98,1724.8232879638672,1719,1737,18,False,grid_lk,False
90,90,99,1749.2711486816406,1737,1755,18,False,grid_lk,False
91,91,100,1760.885986328125,1755,1767,12,False,grid_lk,False
92,92,101,1772.1572265625,1767,1778,11,False,grid_lk,False
93,93,102,1783.2027130126953,1778,1793,15,False,grid_lk,False
94,94,103,1803.3919830322266,1793,1808,15,False,grid_lk,False
95,95,104,1813.1583099365234,1808,1818,10,False,grid_lk,False
96,96,105,1822.8464050292969,1818,1828,10,False,grid_lk,False
97,97,106,1832.1546325683594,1828,1841,13,False,grid_lk,False
98,98,107,1849.6258697509766,1841,1854,13,False,grid_lk,False
99,99,108,1859.2530670166016,1854,1868,14,False,grid_lk,False
100,100,109,1876.6358795166016,1868,1881,13,False,grid_lk,False
101,101,110,1884.8025512695312,1881,1889,8,False,grid_lk,False
102,102,111,1893.1866455078125,1889,1901,12,False,grid_lk,False
103,103,112,1908.7774658203125,1901,1913,12,False,grid_lk,False
104,104,113,1916.9244079589844,1913,1921,8,False,grid_lk,False
105,105,114,1924.9584045410156,1921,1933,12,False,grid_lk,False
106,106,115,1940.1120910644531,1933,1949,16,False,grid_lk,False
107,107,117,1958.3731994628906,1949,1963,14,False,grid_lk,False
108,108,119,1968.3141784667969,1963,1972,9,False,grid_lk,False
109,109,120,1976.3584594726562,1972,1982,10,False,grid_lk,False
110,110,122,1987.2223510742188,1982,1992,10,False,grid_lk,False
111,111,125,1996.1494445800781,1992,2001,9,False,grid_lk,False
112,112,128,2005.1868896484375,2001,2432,431,False,grid_lk,False
