left_node,right_node,left_frame_id,right_frame_id,measured_dx_px,measured_dy_px,inlier_count,inlier_ratio,grid_coverage,vertical_span_fraction,forward_backward_p95_px,parallax_cluster_ratio,pose_progress_m,pose_direction_agreement,confidence,reliable,rejection_reasons,kind,direct_image_match,detected_feature_count,forward_lk_valid_count,backward_lk_valid_count,fb_retained_count,model_inlier_count,fb_retention_ratio,model_inlier_ratio_retained,effective_inlier_ratio_detected,forward_backward_p50_px,model_residual_p50_px,model_residual_p95_px,model_residual_max_px,dominant_cluster_count,secondary_cluster_count,frame_gap,timestamp_gap_ms,predicted_overlap_fraction,provisional_spacing_px
0,18,54,170,67.42061614990234,-0.6376495361328125,19,0.042222222222222223,0.1875,0.14166666666666666,0.6406224370002747,0.2585034013605442,0.18728508645773445,True,1.0,True,,anchor_long,True,450,378,364,147,19,0.32666666666666666,0.1292517006802721,0.042222222222222223,0.17605651915073395,9.82314719854804,65.58641367614993,74.64501216274459,19,38,116,2504.402,0.8458141430868792,65.3748033311632
0,19,54,176,72.08544921875,-0.7185211181640625,20,0.044444444444444446,0.1875,0.6458333333333334,0.6897048354148865,0.2867647058823529,0.19924911796716815,True,1.0,True,,anchor_long,True,450,381,366,136,20,0.3022222222222222,0.14705882352941177,0.044444444444444446,0.17374417185783386,11.336618470662714,68.20660233949468,76.75541349992436,20,39,122,2637.970000000001,0.8375012879601564,68.89945390489368
0,20,54,183,75.76569366455078,-0.7085494995117188,16,0.035555555555555556,0.14583333333333334,0.14166666666666666,0.6518406867980957,0.31451612903225806,0.2107107259103812,True,1.0,True,,anchor_long,True,450,382,361,124,16,0.27555555555555555,0.12903225806451613,0.035555555555555556,0.19246970117092133,13.786087334633574,69.70814728132616,76.4713965523288,16,39,129,2771.5380000000005,0.8292300166323999,72.40647294786243
0,21,54,189,43.5455322265625,0.22045135498046875,19,0.042222222222222223,0.125,0.24583333333333332,0.6880048513412476,0.175,0.2218533835819928,True,1.0,True,,anchor_long,True,450,380,364,120,19,0.26666666666666666,0.15833333333333333,0.042222222222222223,0.1964576244354248,33.110617390912815,44.83269079034914,51.04376418688147,19,21,135,2905.1060000000016,0.8210024883662129,75.8949449327257
0,22,54,195,45.69184112548828,0.22174835205078125,16,0.035555555555555556,0.125,0.23333333333333334,0.6897807121276855,0.18181818181818182,0.23240594090718053,True,1.0,True,,anchor_long,True,450,378,366,110,16,0.24444444444444444,0.14545454545454545,0.035555555555555556,0.21458299458026886,35.303610208464384,46.67219307814061,53.70094120560997,16,20,141,3038.674000000001,0.8130776347354273,79.25508287217883
0,23,54,202,47.945255279541016,0.24223804473876953,17,0.03777777777777778,0.14583333333333334,0.5875,0.6594917178153992,0.15454545454545454,0.2436651953740946,True,1.0,True,,anchor_long,True,450,386,375,110,17,0.24444444444444444,0.15454545454545454,0.03777777777777778,0.22879254817962646,35.95315023495657,48.74218438646072,56.21478393343675,17,17,148,3172.2430000000004,0.8050102157912664,82.67566850450305
0,24,54,208,50.135398864746094,-0.0588226318359375,13,0.028888888888888888,0.125,0.5708333333333333,0.6673025488853455,0.14736842105263157,0.25371212013674205,True,0.8125,False,insufficient_inliers,anchor_long,True,450,385,365,95,13,0.2111111111111111,0.1368421052631579,0.028888888888888888,0.22765198349952698,36.60968092802544,51.042969794515464,58.621330331685755,13,14,154,3305.8110000000015,0.7970708951010393,86.0419404771593
0,25,54,215,52.30982208251953,0.16007041931152344,9,0.02,0.08333333333333333,0.5666666666666667,0.6575536727905273,0.13580246913580246,0.2644465089009395,True,0.5625,False,insufficient_inliers,anchor_long,True,450,384,357,81,9,0.18,0.1111111111111111,0.02,0.21314793825149536,37.10154945330827,52.39336043119038,61.025839421211835,9,11,161,3439.379000000001,0.7893325567745313,89.32299592759875
0,26,54,222,54.201725006103516,0.5155792236328125,8,0.017777777777777778,0.0625,0.19583333333333333,0.7139878273010254,0.12195121951219512,0.2747972782880213,True,0.5,False,insufficient_inliers;insufficient_model_inlier_ratio_retained,anchor_long,True,450,384,349,82,8,0.18222222222222223,0.0975609756097561,0.017777777777777778,0.30491143465042114,38.330797271554985,51.62186465247268,63.65396200965788,8,10,168,3572.947,0.7817159378803501,92.55244233873157
0,27,54,229,56.928123474121094,-0.289215087890625,9,0.02,0.041666666666666664,0.42083333333333334,0.644934892654419,0.21621621621621623,0.2867952769049138,True,0.5625,False,insufficient_inliers,anchor_long,True,450,384,354,74,9,0.16444444444444445,0.12162162162162163,0.02,0.2673203945159912,32.82459805187932,54.49333718755803,61.15102070487138,9,16,175,3723.211000000001,0.7731800399236459,96.17166307237414
0,28,54,236,91.32249450683594,-1.4127044677734375,7,0.015555555555555555,0.041666666666666664,0.05416666666666667,0.6312335133552551,0.2054794520547945,0.2970121802733744,True,0.4375,False,insufficient_inliers;insufficient_model_inlier_ratio_retained,anchor_long,True,450,384,351,73,7,0.1622222222222222,0.0958904109589041,0.015555555555555555,0.2467019408941269,32.006185307023074,79.17011202976997,91.16791906600476,7,15,182,3856.7790000000005,0.7667518371805954,98.89722103542755
0,29,54,242,94.66022109985352,-1.4829483032226562,8,0.017777777777777778,0.041666666666666664,0.05416666666666667,0.5922948122024536,0.16901408450704225,0.30758204952450036,True,0.5,False,insufficient_inliers,anchor_long,True,450,382,351,71,8,0.15777777777777777,0.11267605633802817,0.017777777777777778,0.27015650272369385,32.438598129643715,91.11771240589835,96.53570237789339,8,12,188,3990.3470000000016,0.7598713004114241,101.81456862555615
0,30,54,248,113.72699737548828,-1.1836776733398438,7,0.015555555555555555,0.041666666666666664,0.04583333333333333,0.6616911292076111,0.16666666666666666,0.3196667911038662,True,0.4375,False,insufficient_inliers,anchor_long,True,450,379,350,60,7,0.13333333333333333,0.11666666666666667,0.015555555555555555,0.29027244448661804,48.87898663717124,113.648058423623,114.88812184361274,7,10,194,4123.916000000001,0.7514631858161909,105.37960921393505
0,31,54,256,118.08699035644531,-1.2502288818359375,7,0.015555555555555555,0.041666666666666664,0.04583333333333333,0.6930029392242432,0.14035087719298245,0.3332722827379669,True,0.4375,False,insufficient_inliers,anchor_long,True,450,375,357,57,7,0.12666666666666668,0.12280701754385964,0.015555555555555555,0.3686741888523102,52.35455352204608,123.5278795891897,129.22418920313518,7,8,202,4274.18,0.7421742540235539,109.31811629401318
0,32,54,263,105.51504325866699,-1.4484786987304688,6,0.013333333333333334,0.041666666666666664,0.029166666666666667,0.7094494104385376,0.10909090909090909,0.343610885242569,True,0.375,False,insufficient_inliers,anchor_long,True,450,373,350,55,6,0.12222222222222222,0.10909090909090909,0.013333333333333334,0.3146369159221649,39.00657475493338,108.87242791767851,114.1991320455326,6,6,209,4407.748000000001,0.7356741598317207,112.0741562313504
0,33,54,270,108.65974235534668,-1.54754638671875,6,0.013333333333333334,0.041666666666666664,0.05416666666666667,0.7299056649208069,0.13043478260869565,0.3536551722854612,True,0.375,False,insufficient_inliers,anchor_long,True,450,368,351,46,6,0.10222222222222223,0.13043478260869565,0.013333333333333334,0.2826542258262634,38.697770059920956,114.66639180864901,116.8369175059208,6,6,216,4541.316000000001,0.7291864274182909,114.82495477464465
