left_node,right_node,left_frame_id,right_frame_id,measured_dx_px,measured_dy_px,inlier_count,inlier_ratio,grid_coverage,vertical_span_fraction,forward_backward_p95_px,parallax_cluster_ratio,pose_progress_m,pose_direction_agreement,confidence,reliable,rejection_reasons,kind,direct_image_match,detected_feature_count,forward_lk_valid_count,backward_lk_valid_count,fb_retained_count,model_inlier_count,fb_retention_ratio,model_inlier_ratio_retained,effective_inlier_ratio_detected,forward_backward_p50_px,model_residual_p50_px,model_residual_p95_px,model_residual_max_px,dominant_cluster_count,secondary_cluster_count,frame_gap,timestamp_gap_ms,predicted_overlap_fraction,provisional_spacing_px
0,1,117,118,2.8248023986816406,-0.044994354248046875,406,0.9227272727272727,1.0,0.9875,0.14862200617790222,0.06235565819861432,0.007914121071135538,True,1.0,True,[],adjacent,True,440,440,437,433,406,0.9840909090909091,0.9376443418013857,0.9227272727272727,0.005543667357414961,0.8769618421857538,1.8038763248888274,3.6521947681998097,406,27,1,16.695999999996275,1.0,0.0
1,2,118,119,2.6131134033203125,-0.07161712646484375,401,0.9303944315545244,1.0,0.9791666666666666,0.11288270354270935,0.04513064133016627,0.00824341065749179,True,1.0,True,[],adjacent,True,431,430,428,421,401,0.9767981438515081,0.9524940617577197,0.9303944315545244,0.006520333234220743,0.8085761104320561,1.4483071922613737,4.956545681751461,401,19,1,16.69600000002538,1.0,0.0
2,3,119,120,5.4004974365234375,0.06655311584472656,245,0.5658198614318707,0.8125,0.9708333333333333,0.14850091934204102,0.38902147971360385,0.01365243186418752,True,1.0,True,[],adjacent,True,433,431,429,419,245,0.9676674364896074,0.5847255369928401,0.5658198614318707,0.010864295065402985,1.2074634258650563,2.9146555007483768,5.137349542305219,245,163,1,33.39199999999255,1.0,0.0
3,4,120,121,2.2559356689453125,0.06203746795654297,401,0.9457547169811321,1.0,0.9833333333333333,0.07439951598644257,0.02403846153846154,0.007207998218820677,True,1.0,True,[],adjacent,True,424,424,424,416,401,0.9811320754716981,0.9639423076923077,0.9457547169811321,0.004791387356817722,0.6524382026411191,1.1998535997425426,6.911352308114634,401,10,1,16.695999999996275,1.0,0.0
4,5,121,122,4.556230068206787,-0.2308177947998047,280,0.6496519721577726,0.8333333333333334,0.9833333333333333,0.1664676070213318,0.3031026252983294,0.012037661684517031,True,1.0,True,[],adjacent,True,431,431,426,419,280,0.9721577726218097,0.6682577565632458,0.6496519721577726,0.012996227480471134,1.0796368680637072,2.2174923613037376,6.3124418635773445,280,127,1,33.39199999999255,1.0,0.0
5,6,122,123,1.9327735900878906,-0.15990829467773438,424,0.9814814814814815,1.0,0.9875,0.10313748568296432,0.00702576112412178,0.004656116462594229,True,1.0,True,[],adjacent,True,432,432,429,427,424,0.9884259259259259,0.9929742388758782,0.9814814814814815,0.00705947820097208,0.5905110860532872,0.9530462465632782,3.1463670379471718,424,3,1,16.695999999996275,1.0,0.0
6,7,123,124,1.7218551635742188,-0.0001373291015625,425,0.9792626728110599,1.0,0.9833333333333333,0.1088750958442688,0.01160092807424594,0.004745056527946989,True,1.0,True,[],adjacent,True,434,434,431,431,425,0.9930875576036866,0.9860788863109049,0.9792626728110599,0.0037384519819170237,0.4961318984391932,0.8608235407369516,4.4744471098598675,425,5,1,16.695999999996275,1.0,0.0
7,8,124,125,1.5510177612304688,0.15344619750976562,423,0.976905311778291,1.0,0.9833333333333333,0.08830434828996658,0.009324009324009324,0.004515605241834919,True,1.0,True,[],adjacent,True,433,433,431,429,423,0.9907621247113164,0.986013986013986,0.976905311778291,0.00452052429318428,0.4368900723980213,0.8496125432806685,4.07535788465027,423,4,1,16.69600000002538,1.0,0.0
8,9,125,126,1.387420654296875,0.16219329833984375,432,0.988558352402746,1.0,0.9833333333333333,0.11874480545520782,0.004608294930875576,0.0044301427064805665,True,1.0,True,[],adjacent,True,437,437,435,434,432,0.9931350114416476,0.9953917050691244,0.988558352402746,0.0054692719131708145,0.376827476855891,0.8007018915466362,2.104066135248579,432,2,1,16.695999999996275,1.0,0.0
9,10,126,127,2.465728759765625,0.04064798355102539,417,0.9477272727272728,1.0,0.9833333333333333,0.13047870993614197,0.02564102564102564,0.006717818935808806,True,1.0,True,[],adjacent,True,440,440,437,429,417,0.975,0.972027972027972,0.9477272727272728,0.005799469072371721,0.6836597140013644,1.2944685419739321,3.5730097705256045,417,11,1,33.39199999999255,1.0,0.0
10,11,127,128,1.2445907592773438,-0.02820587158203125,429,0.988479262672811,1.0,0.9875,0.07245147228240967,0.004640371229698376,0.003105726014451582,True,1.0,True,[],adjacent,True,434,434,433,431,429,0.9930875576036866,0.9953596287703016,0.988479262672811,0.003895984496921301,0.3438594042720681,0.5726512331789997,2.419761736627669,429,2,1,16.695999999996275,1.0,0.0
0,2,117,119,4.197135925292969,-0.12037277221679688,203,0.46136363636363636,0.6875,0.95,0.2540469169616699,0.44339622641509435,0.016157531728627328,True,1.0,True,[],skip,True,440,439,436,424,203,0.9636363636363636,0.47877358490566035,0.46136363636363636,0.013882555067539215,1.5511313520160144,3.5439108780830306,7.261907549115559,203,188,2,33.39200000002165,1.0,0.0
1,3,118,120,9.315658569335938,0.003448486328125,169,0.39211136890951276,0.6458333333333334,0.9666666666666667,0.2380380928516388,0.4317617866004963,0.02189584252167931,True,0.871358597576695,False,['insufficient_inlier_ratio'],skip,True,431,428,428,403,169,0.9350348027842227,0.41935483870967744,0.39211136890951276,0.01360625121742487,2.6191784061272276,6.017400843997225,11.069270174677122,169,174,2,50.08800000001793,1.0,0.0
2,4,119,121,8.531143188476562,0.13361358642578125,185,0.42725173210161665,0.6458333333333334,0.9666666666666667,0.24759285151958466,0.45498783454987834,0.020860430083008197,True,0.9494482935591481,False,"['insufficient_inlier_ratio', 'excessive_parallax_clusters']",skip,True,433,430,428,411,185,0.9491916859122402,0.45012165450121655,0.42725173210161665,0.014342977665364742,1.9090907742785599,4.791203607462528,10.88056494346174,185,187,2,50.087999999988824,1.0,0.0
