[81/144] RGB-D 88->89: fitness=0.988, rmse=10.2 mm, 0.34s
[82/144] RGB-D 89->90: fitness=0.986, rmse=9.5 mm, 0.32s
[83/144] RGB-D 90->91: fitness=0.988, rmse=9.4 mm, 0.33s
[84/144] RGB-D 91->92: fitness=0.991, rmse=9.7 mm, 0.32s
[85/144] RGB-D 92->93: fitness=0.988, rmse=10.4 mm, 0.33s
[86/144] RGB-D 93->94: fitness=0.988, rmse=9.8 mm, 0.34s
[87/144] RGB-D 94->95: fitness=0.992, rmse=10.5 mm, 0.32s
[88/144] RGB-D 95->96: fitness=0.992, rmse=10.2 mm, 0.31s
[89/144] RGB-D 96->97: fitness=0.980, rmse=10.3 mm, 0.32s
[90/144] RGB-D 97->98: fitness=0.987, rmse=10.3 mm, 0.31s
[91/144] RGB-D 98->99: fitness=0.986, rmse=10.0 mm, 0.31s
[92/144] RGB-D 99->100: fitness=0.976, rmse=10.4 mm, 0.32s
[93/144] RGB-D 100->101: fitness=0.986, rmse=10.6 mm, 0.33s
[94/144] RGB-D 101->102: fitness=0.992, rmse=9.9 mm, 0.31s
[95/144] RGB-D 102->103: fitness=0.991, rmse=10.5 mm, 0.32s
[96/144] RGB-D 103->104: fitness=0.980, rmse=10.8 mm, 0.32s
[97/144] RGB-D 104->105: fitness=0.984, rmse=10.9 mm, 0.33s
[98/144] RGB-D 105->106: fitness=0.986, rmse=11.0 mm, 0.34s
[99/144] RGB-D 106->107: fitness=0.989, rmse=11.0 mm, 0.34s
[100/144] RGB-D 107->108: fitness=0.989, rmse=11.1 mm, 0.33s
[101/144] RGB-D 108->109: fitness=0.990, rmse=10.9 mm, 0.32s
[102/144] RGB-D 109->110: fitness=0.982, rmse=10.2 mm, 0.31s
[103/144] RGB-D 110->111: fitness=0.983, rmse=11.2 mm, 0.31s
[104/144] RGB-D 111->112: fitness=0.987, rmse=10.8 mm, 0.33s
[105/144] RGB-D 112->113: fitness=0.989, rmse=10.9 mm, 0.31s
[106/144] RGB-D 113->114: fitness=0.987, rmse=11.2 mm, 0.32s
[107/144] RGB-D 114->115: fitness=0.984, rmse=11.0 mm, 0.31s
[108/144] RGB-D 115->116: fitness=0.987, rmse=11.1 mm, 0.32s
[109/144] RGB-D 116->117: fitness=0.969, rmse=11.4 mm, 0.32s
[110/144] RGB-D 117->118: fitness=0.988, rmse=11.3 mm, 0.32s
[111/144] RGB-D 118->119: fitness=0.984, rmse=11.3 mm, 0.32s
[112/144] RGB-D 119->120: fitness=0.980, rmse=11.0 mm, 0.31s
[113/144] RGB-D 120->121: fitness=0.985, rmse=11.2 mm, 0.32s
[114/144] RGB-D 121->122: fitness=0.982, rmse=10.8 mm, 0.31s
[115/144] RGB-D 122->123: fitness=0.981, rmse=11.2 mm, 0.30s
[116/144] RGB-D 123->124: fitness=0.982, rmse=11.6 mm, 0.31s
[117/144] RGB-D 124->125: fitness=0.983, rmse=11.3 mm, 0.30s
[118/144] RGB-D 125->126: fitness=0.981, rmse=11.3 mm, 0.32s
[119/144] RGB-D 126->127: fitness=0.989, rmse=10.8 mm, 0.31s
[120/144] RGB-D 127->128: fitness=0.989, rmse=10.7 mm, 0.33s
[121/144] RGB-D 128->129: fitness=0.988, rmse=11.4 mm, 0.35s
[122/144] RGB-D 129->130: fitness=0.988, rmse=10.7 mm, 0.35s
[123/144] RGB-D 130->131: fitness=0.986, rmse=10.9 mm, 0.32s
[124/144] RGB-D 131->132: fitness=0.991, rmse=10.0 mm, 0.31s
[125/144] RGB-D 132->133: fitness=0.978, rmse=10.6 mm, 0.30s
[126/144] RGB-D 133->134: fitness=0.987, rmse=10.2 mm, 0.31s
[127/144] RGB-D 134->135: fitness=0.988, rmse=9.5 mm, 0.31s
[128/144] RGB-D 135->136: fitness=0.991, rmse=9.7 mm, 0.30s
[129/144] RGB-D 136->137: fitness=0.988, rmse=8.9 mm, 0.31s
[130/144] RGB-D 137->138: fitness=0.991, rmse=8.5 mm, 0.32s
[131/144] RGB-D 138->139: fitness=0.994, rmse=8.0 mm, 0.33s
[132/144] RGB-D 139->140: fitness=0.989, rmse=8.3 mm, 0.31s
[133/144] RGB-D 140->141: fitness=0.973, rmse=7.5 mm, 0.32s
[134/144] RGB-D 141->142: fitness=0.985, rmse=8.2 mm, 0.31s
[135/144] RGB-D 142->143: fitness=0.984, rmse=8.1 mm, 0.32s
[136/144] RGB-D 143->144: fitness=0.985, rmse=7.7 mm, 0.32s
[137/144] RGB-D 144->145: fitness=0.982, rmse=9.2 mm, 0.31s
[138/144] RGB-D 145->146: fitness=0.982, rmse=9.7 mm, 0.31s
[139/144] RGB-D 146->147: fitness=0.991, rmse=8.5 mm, 0.31s
[140/144] RGB-D 147->148: fitness=0.990, rmse=8.4 mm, 0.31s
[141/144] RGB-D 148->149: fitness=0.975, rmse=8.5 mm, 0.32s
[142/144] RGB-D 149->150: fitness=0.985, rmse=8.2 mm, 0.31s
[143/144] RGB-D 150->151: fitness=0.987, rmse=9.0 mm, 0.33s
[144/144] RGB-D 151->152: fitness=0.985, rmse=8.3 mm, 0.31s
[ORB-SLAM3] solving the global RGB-D trajectory from the complete short-baseline scan
